node,expression,type
AEBP2,87.255870224908,TF
ALX3,10.6975045287982,TF
ALX4,54.7563103027642,TF
AR,55.2813740447164,TF
ARID3A,3.88849065639079,TF
ARNT2,47.7624859195203,TF
ARNTL,2.9224895639345,TF
ATF1,70.8853379124776,TF
ATF3,73.4498928999528,TF
ATF4,26.9192913081497,TF
ATF6,26.4023724943399,TF
ATF7,75.4635033197701,TF
BACH2,37.3252398101613,TF
BARX2,7.93288089334965,TF
BBX,11.8224384728819,TF
BCL6,86.8667348055169,TF
BCL6B,76.9770779879764,TF
BCLAF1,55.9128063498065,TF
BHLHE40,0.0935508171096444,TF
BHLHE41,30.8386477641761,TF
CAMTA1,90.741084003821,TF
CEBPB,77.9968628427014,TF
CEBPD,25.2797607332468,TF
CEBPG,94.7335372678936,TF
CREB1,71.04611992836,TF
CREB3,56.1044390546158,TF
CREB3L2,94.0238448558375,TF
CREB5,0.451137637719512,TF
CREM,41.1550553282723,TF
CUX2,2.93413219042122,TF
DBP,83.8061322225258,TF
DEAF1,84.073107666336,TF
E2F1,74.2719974601641,TF
E2F3,32.5134599581361,TF
E2F6,49.4182657217607,TF
E2F7,46.0072265705094,TF
E2F8,72.3477573366836,TF
E4F1,98.6446539871395,TF
EBF1,44.598205992952,TF
EGR1,9.14509964641184,TF
EGR3,82.8535166336223,TF
EHF,88.9074130449444,TF
ELF2,25.2735242247581,TF
ELF4,48.561813426204,TF
ELK1,74.916455312632,TF
ELK3,80.6325893150643,TF
ELK4,73.648378578946,TF
ERF,56.6777750616893,TF
ESRRA,99.3760350393131,TF
ESRRG,40.2978568105027,TF
ETS1,76.8312052357942,TF
ETV1,51.4087072107941,TF
ETV5,54.3120111804456,TF
ETV6,48.22017243132,TF
FIZ1,10.5433145770803,TF
FOS,43.1683403206989,TF
FOSL1,65.876763430424,TF
FOSL2,89.5948246121407,TF
FOXC1,33.0123238265514,TF
FOXH1,43.0467037949711,TF
FOXJ1,86.9671774562448,TF
FOXJ2,56.8951223511249,TF
FOXK1,71.3414534693584,TF
FOXM1,57.4968914268538,TF
FOXN2,69.4539403077215,TF
FOXO1,9.07754725776613,TF
FOXO3,7.37533641513437,TF
FOXP1,31.8546517984942,TF
GLI2,73.5123357037082,TF
GLI3,68.2726418832317,TF
GLIS2,45.9083560388535,TF
GLIS3,25.6271889433265,TF
GMEB2,36.0563312890008,TF
GZF1,56.2155675375834,TF
HBP1,15.9054382005706,TF
HEY1,55.0579987699166,TF
HEY2,10.9842277597636,TF
HIC2,49.5405755704269,TF
HINFP,94.8449126910418,TF
HKR1,33.3885803353041,TF
HLF,91.2495167227462,TF
HMBOX1,94.952528225258,TF
HOMEZ,77.3928774986416,TF
HOXA2,37.7292385092005,TF
HOXA3,93.5261410893872,TF
HOXA4,29.3786198366433,TF
HOXA5,16.8557895813137,TF
HOXB2,40.7768463017419,TF
HOXB3,45.7070721080527,TF
HOXB4,0.380677729845047,TF
HOXD3,42.1093865064904,TF
HSF1,8.09014439582825,TF
HSF2,55.93137210235,TF
ID1,29.5997839188203,TF
IRF1,20.8157885121182,TF
IRF2,22.6018876070157,TF
IRF3,57.6061555650085,TF
IRF7,86.6007702192292,TF
IRF8,86.4653679775074,TF
IRF9,30.6073718471453,TF
IRX2,36.936637526378,TF
IRX3,43.2765536010265,TF
JDP2,23.4690204029903,TF
JUN,47.8145620319992,TF
JUNB,26.4406946953386,TF
JUND,72.716111317277,TF
KLF12,70.7850177772343,TF
KLF13,41.4634837303311,TF
KLF15,12.2065701987594,TF
KLF16,80.0469696288928,TF
KLF3,48.076063580811,TF
KLF4,80.0877099391073,TF
KLF5,47.5262170657516,TF
KLF7,35.0674857618287,TF
LMX1A,10.7004070421681,TF
LMX1B,79.3219005456194,TF
MAF,19.4623563671485,TF
MAFF,3.86688020080328,TF
MAFG,36.9872406125069,TF
MAFK,36.6513842483982,TF
MAX,49.2160483496264,TF
MECOM,49.4994067121297,TF
MEF2A,83.8178873993456,TF
MEF2B,62.9249599995092,TF
MEF2C,94.6259544463828,TF
MEF2D,47.7083854144439,TF
MEIS1,42.8444154560566,TF
MEIS2,37.3155817156658,TF
MGA,46.5636163949966,TF
MLX,58.6410013958812,TF
MNT,30.7719683041796,TF
MSX1,43.612521304749,TF
MSX2,37.2515990398824,TF
MXI1,41.781760007143,TF
MYBL2,70.4024503240362,TF
MYC,99.8245924944058,TF
MYCN,89.306233311072,TF
MZF1,65.9065455198288,TF
NFATC1,13.5700495680794,TF
NFATC2,21.9570857239887,TF
NFE2L2,10.0678070215508,TF
NFIA,62.1250791940838,TF
NFIB,61.2796710105613,TF
NFIC,64.5588407758623,TF
NFIL3,62.5776317669079,TF
NFIX,67.3022883245721,TF
NFKB1,75.036147958599,TF
NFKB2,52.2348937345669,TF
NFYA,33.1583007704467,TF
NR1D1,49.1520585725084,TF
NR2F1,75.4207571269944,TF
NR2F2,22.4344641435891,TF
NR3C1,85.2269004797563,TF
NR3C2,62.7867820905522,TF
NR4A2,89.7048281971365,TF
NR5A2,1.51690491475165,TF
NRL,34.832694218494,TF
OLIG2,56.1693383613601,TF
OLIG3,21.6343297855929,TF
OTX2,62.2696466045454,TF
PAX3,71.3456296129152,TF
PAX6,73.7003868678585,TF
PBX1,54.4336574384943,TF
PBX3,57.6058391714469,TF
PEG3,19.2594681633636,TF
PKNOX1,83.6050177225843,TF
PKNOX2,67.7093306789175,TF
POU2F1,54.798253881745,TF
POU2F2,84.7781925229356,TF
POU3F2,14.6906003821641,TF
POU3F3,99.7445065760985,TF
POU3F4,76.4574058353901,TF
PPARA,73.0597015470266,TF
PPARG,96.4898932026699,TF
PRDM6,1.77187421359122,TF
PROX1,81.0324707766995,TF
