TF,Out,In,Total,node,expression,type,TF_CliqueFraction
AEBP2,47,69,116,AEBP2,53.6120118573308,TF,NA
AHR,27,61,88,AHR,37.7574974438176,TF,NA
ASCL2,135,65,200,ASCL2,6.47583396639675,TF,0.0152071316203461
ATF3,34,63,97,ATF3,48.8127977354452,TF,0.00157315154693235
ATF6,7,105,112,ATF6,86.8549777427688,TF,NA
BACH2,18,173,191,BACH2,84.177200589329,TF,NA
BARHL2,125,38,163,BARHL2,2.97261534724385,TF,NA
BATF3,74,13,87,BATF3,50.1929215854034,TF,NA
BBX,88,56,144,BBX,26.6162351472303,TF,NA
BCL6,209,190,399,BCL6,13.9422977576032,TF,0.428421604614578
BHLHE40,26,122,148,BHLHE40,36.9496933184564,TF,NA
BHLHE41,7,118,125,BHLHE41,95.165228494443,TF,0
CAMTA1,0,154,154,CAMTA1,27.4089398328215,TF,NA
CEBPB,47,28,75,CEBPB,54.9661706900224,TF,NA
CREB3,38,45,83,CREB3,86.4626206923276,TF,NA
CREB3L1,18,49,67,CREB3L1,66.143145179376,TF,NA
CREB3L2,24,184,208,CREB3L2,45.077231968753,TF,NA
CREB5,20,248,268,CREB5,36.4277520217001,TF,0.00262191924488726
DBP,109,43,152,DBP,18.0792368482798,TF,NA
DEAF1,60,27,87,DEAF1,48.7505840137601,TF,NA
E2F1,68,27,95,E2F1,12.7072073752061,TF,NA
E2F2,62,221,283,E2F2,52.8284022584558,TF,0.0524383848977451
E2F3,146,133,279,E2F3,35.9155723126605,TF,0.115888830624017
E2F6,127,147,274,E2F6,20.6791874254122,TF,NA
EGR1,193,97,290,EGR1,16.2184330401942,TF,0.0377556371263765
EGR3,55,212,267,EGR3,34.7169821616262,TF,0.0214997378080755
EGR4,35,37,72,EGR4,70.5148638458923,TF,NA
EHF,160,100,260,EHF,33.5196300409734,TF,0.0330361824855794
ELF2,23,146,169,ELF2,98.353239079006,TF,NA
ELF4,74,25,99,ELF4,0.25987708941102,TF,NA
EOMES,83,16,99,EOMES,54.710176307708,TF,NA
ERF,45,128,173,ERF,57.4643129715696,TF,NA
ESRRA,159,88,247,ESRRA,93.2766096433625,TF,0.0419507079181961
ESRRG,99,40,139,ESRRG,46.5719916624948,TF,NA
ETS1,185,132,317,ETS1,94.675179827027,TF,0.165705296276875
ETV1,23,108,131,ETV1,9.10291662439704,TF,NA
ETV5,22,89,111,ETV5,19.7566617978737,TF,NA
ETV6,83,201,284,ETV6,32.0242732064798,TF,0.0880964866282118
ETV7,58,29,87,ETV7,76.7870599171147,TF,NA
FIZ1,116,150,266,FIZ1,73.7106207991019,TF,0.121657052962769
FOS,57,227,284,FOS,62.7490931656212,TF,0.087047718930257
FOSL1,22,105,127,FOSL1,28.3815547125414,TF,NA
FOSL2,30,57,87,FOSL2,16.7485058074817,TF,NA
FOXB1,110,133,243,FOXB1,93.1198301026598,TF,0.0791819611955952
FOXC1,183,18,201,FOXC1,88.4808297734708,TF,NA
FOXD4L2,94,46,140,FOXD4L2,78.5422770306468,TF,NA
FOXD4L5,94,85,179,FOXD4L5,65.8040981274098,TF,NA
FOXH1,59,118,177,FOXH1,60.5443213367835,TF,NA
FOXJ1,139,36,175,FOXJ1,89.1888772835955,TF,NA
FOXJ2,180,120,300,FOXJ2,4.15141687262803,TF,0.0933403251179864
FOXK1,174,221,395,FOXK1,23.0374975362793,TF,0.486103828002098
FOXL1,182,24,206,FOXL1,52.5129878427833,TF,0.00262191924488726
FOXL2,50,13,63,FOXL2,58.251650701277,TF,NA
FOXN2,103,75,178,FOXN2,66.9869172619656,TF,NA
FOXN4,55,61,116,FOXN4,96.0706741781905,TF,NA
FOXO3,185,63,248,FOXO3,17.4629779532552,TF,0.0340849501835344
FOXP1,190,14,204,FOXP1,82.4547098018229,TF,NA
FOXR1,100,59,159,FOXR1,89.554374339059,TF,NA
GATA1,39,44,83,GATA1,18.6479305382818,TF,NA
GBX2,60,30,90,GBX2,65.9604293294251,TF,NA
GFI1,111,35,146,GFI1,49.213794246316,TF,0.00262191924488726
GLI1,51,85,136,GLI1,32.2705718921497,TF,NA
GLIS2,147,138,285,GLIS2,93.8707199180499,TF,0.0970110120608285
GLIS3,16,175,191,GLIS3,1.79318706505001,TF,NA
GSC2,31,64,95,GSC2,71.375047089532,TF,NA
GZF1,6,87,93,GZF1,84.4584970502183,TF,NA
HES7,83,137,220,HES7,18.9044018043205,TF,NA
HEY1,14,178,192,HEY1,18.4913708362728,TF,NA
HEY2,11,114,125,HEY2,61.2187791615725,TF,NA
HIC2,88,16,104,HIC2,61.051200912334,TF,NA
HKR1,145,57,202,HKR1,44.6461182553321,TF,0.0183534347142108
HMBOX1,51,33,84,HMBOX1,47.1478107385337,TF,NA
HNF4G,63,55,118,HNF4G,50.4372611176223,TF,NA
HSF1,133,19,152,HSF1,34.9207451567054,TF,NA
ID1,114,202,316,ID1,75.5884320940822,TF,0.190351337178815
IRF2,65,93,158,IRF2,30.2079199580476,TF,NA
IRX2,73,140,213,IRX2,3.32333180122077,TF,NA
IRX3,78,14,92,IRX3,32.4584123445675,TF,NA
IRX4,65,19,84,IRX4,13.3759017800912,TF,NA
IRX5,86,115,201,IRX5,51.6328059136868,TF,NA
ISL2,110,12,122,ISL2,59.7810513572767,TF,NA
ISX,74,23,97,ISX,91.1189559381455,TF,0.000524383848977452
JUN,88,32,120,JUN,68.3464000700042,TF,NA
JUNB,38,154,192,JUNB,86.1985829891637,TF,NA
JUND,157,180,337,JUND,16.502588824369,TF,0.194546407970634
KLF12,47,150,197,KLF12,1.93122497294098,TF,NA
KLF13,36,238,274,KLF13,56.0484802350402,TF,NA
KLF15,110,58,168,KLF15,71.141668013297,TF,NA
KLF16,116,177,293,KLF16,47.7773994207382,TF,0.0597797587834295
KLF3,45,50,95,KLF3,34.9000842077658,TF,NA
KLF4,115,189,304,KLF4,25.9084403514862,TF,NA
KLF5,148,179,327,KLF5,49.0186686627567,TF,NA
KLF7,158,34,192,KLF7,48.9234141772613,TF,NA
MAF,113,26,139,MAF,15.9597871592268,TF,NA
MAFF,154,89,243,MAFF,15.3967470861971,TF,NA
MAFK,153,34,187,MAFK,99.7653870843351,TF,0.00734137388568432
MEF2D,92,168,260,MEF2D,7.87171171978116,TF,0.0471945464079706
MEIS1,96,214,310,MEIS1,67.9104634560645,TF,0.134242265338228
MEOX2,169,99,268,MEOX2,39.4487541168928,TF,0.0613529103303618
MGA,71,23,94,MGA,94.4642080692574,TF,NA
MLX,9,127,136,MLX,14.2610516166314,TF,NA
MNT,13,52,65,MNT,61.5581690100953,TF,NA
MXI1,48,113,161,MXI1,95.7874042913318,TF,NA
MYBL2,33,35,68,MYBL2,51.2676378712058,TF,NA
MYC,35,240,275,MYC,87.1725193457678,TF,NA
MYCN,26,24,50,MYCN,33.4532706765458,TF,NA
NEUROD2,4,42,46,NEUROD2,59.0400279033929,TF,NA
NFATC1,107,175,282,NFATC1,63.6069848202169,TF,0.138961719979025
NFIA,24,208,232,NFIA,10.6436124304309,TF,NA
NFIB,26,228,254,NFIB,42.6916619064286,TF,NA
NFIC,0,146,146,NFIC,95.8462200127542,TF,NA
NFIL3,49,8,57,NFIL3,90.0614944752306,TF,NA
NFIX,24,293,317,NFIX,41.8034444563091,TF,0.00681699003670687
NFKB2,58,72,130,NFKB2,30.5976443458349,TF,NA
NHLH1,43,33,76,NHLH1,28.320600790903,TF,NA
NKX2-2,63,238,301,NKX2-2,5.41847292333841,TF,0.0576822233875197
NR1D1,83,63,146,NR1D1,96.9575003487989,TF,NA
NR2F1,115,162,277,NR2F1,71.3911253958941,TF,NA
NR2F2,113,228,341,NR2F2,78.2668600091711,TF,0.202412165705296
NR2F6,42,40,82,NR2F6,56.4821120351553,TF,NA
NR4A2,110,104,214,NR4A2,94.4938884815201,TF,NA
NRL,35,6,41,NRL,55.1004023524001,TF,NA
